country,iso,region,income_group,internet_pct,has_election,freedom_status,freedom_score,election_type
Curacao,CUW,Latin America & Caribbean,High income,68.13,FALSE,,,
Panama,PAN,Latin America & Caribbean,High income,68.55,TRUE,Free,83,Presidential Election
Greenland,GRL,Europe & Central Asia,High income,69.48,FALSE,,,
Ghana,GHA,Sub-Saharan Africa,Lower middle income,69.94,TRUE,Free,80,General Election
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,70.08,FALSE,,,
Bolivia,BOL,Latin America & Caribbean,Lower middle income,70.24,FALSE,,,
Cuba,CUB,Latin America & Caribbean,Upper middle income,71.28,FALSE,,,
Gabon,GAB,Sub-Saharan Africa,Upper middle income,71.93,FALSE,,,
Tunisia,TUN,Middle East & North Africa,Lower middle income,72.35,TRUE,Partly Free,51,Presidential Election
Belize,BLZ,Latin America & Caribbean,Upper middle income,72.36,FALSE,,,
French Polynesia,PYF,East Asia & Pacific,High income,72.7,FALSE,,,
Indonesia,IDN,East Asia & Pacific,Upper middle income,72.78,TRUE,Partly Free,57,General Election
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,73.54,FALSE,,,
Grenada,GRD,Latin America & Caribbean,Upper middle income,74.12,FALSE,,,
Tuvalu,TUV,East Asia & Pacific,Upper middle income,74.31,FALSE,,,
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,75.66,TRUE,Free,79,General Election
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,75.99,FALSE,,,
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,76.42,FALSE,,,
Algeria,DZA,Middle East & North Africa,Lower middle income,76.91,TRUE,Not Free,32,Presidential Election
Ecuador,ECU,Latin America & Caribbean,Upper middle income,77.17,FALSE,,,
Colombia,COL,Latin America & Caribbean,Upper middle income,77.34,FALSE,,,
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,77.58,FALSE,,,
British Virgin Islands,VGB,Latin America & Caribbean,High income,77.7,FALSE,,,
Suriname,SUR,Latin America & Caribbean,Upper middle income,78.4,FALSE,,,
